nonC..058	J HETEROCYCLIC CHEM
nonC..059	Journal of Medicinal Chemistry
nonC..059	J MED
nonC..060	Journal of Molecular Structure: THEOCHEM
nonC..060	J MOL STRUCT THEOCHEM
nonC..061	Journal of Natural Products
nonC..061	J NAT PRODUCTS
nonC..062	Journal of Organometallic Chemistry
nonC..062	J OROFAC PAIN
nonC..063	Journal of Physical Chemistry C
nonC..063	J PHYS CHEM C
nonC..064	Journal of Polymer Science Part A: Polymer Chemistry
nonC..064	J POLYM SCI PART A POLYM CHEM
nonC..065	Journal of Polymer Science Part B: Polymer Physics
nonC..065	J POLYM SCI PART B POLYM PHYS
nonC..066	Journal of the Brazilian Chemical Society
nonC..066	TEACH DEAF
nonC..067	Journal of the Chemical Society of Pakistan
nonC..067	J CHEM SOC CHEM COMM
nonC..068	Journal of the Royal Institute of Chemistry
nonC..068	J ROY INST CHEM
nonC..069	Journal of Thermal Analysis and Calorimetry
nonC..069	J THERM BIOL
nonC..070	Lab on a Chip
nonC..070	A CHIP
nonC..071	Liebigs Annalen
nonC..071	LIEBIGS ANN
nonC..072	Metallomics
nonC..073	Methods in Organic Synthesis
nonC..073	METH ORG SYNTH
nonC..074	Microchimica Acta
nonC..075	Molbank
nonC..076	Natural Product Reports
nonC..076	NAT PROD REP
nonC..077	Nature Chemical Biology
nonC..077	NAT CHEM BIOL
nonC..078	Nature Protocols
nonC..078	NAT PROTOC
nonC..079	New Journal of Chemistry
nonC..079	NEW J CHEM
nonC..080	Organic and Biomolecular Chemistry
nonC..080	ORG BIOMOL CHEM
nonC..081	Organic Letters
nonC..081	ORG LETT
nonC..082	Perkin Transactions
nonC..082	PERKIN TRANS
nonC..083	Photochemical and Photobiological Sciences
nonC..083	PHOTOCHEM PHOTOBIOL SCI
nonC..084	Polish Journal of Chemistry
nonC..084	POL J CHEM
nonC..085	Polyhedron
nonC..086	Proceedings of the Chemical Society
nonC..086	PROC CHEM SOC
nonC..087	Revista Boliviana de Quimica
nonC..087	REV BOLIVIANA QUIM
nonC..088	Revista de la Sociedad Venezolana Química
nonC..088	REV SOC VENEZ QUíMICA
nonC..089	Scientia Pharmaceutica
nonC..089	SCI PHARM
nonC..090	Synlett
nonC..091	Talanta
nonC..092	Tetrahedron Letters
nonC..092	TETRAHEDRON LETT
nonC..093	Trends in Analytical Chemistry
nonC..093	TREND ANAL CHEM
nonC..094	Zeitschrift für Naturforschung B
nonC..094	Z FOR NATURFORSCH B
nonCS.001	ACM Computing Reviews
nonCS.001	COMPUT REV
nonCS.002	ACM Computing Surveys
nonCS.002	ACM COMPUT SURV
nonCS.003	ACM Transactions on Algorithms
nonCS.003	TRANS ALGOR
nonCS.004	ACM Transactions on Computational Logic
nonCS.004	TRANS COMPUT LOG
nonCS.005	ACM Transactions on Database Systems
nonCS.005	ACM T DATABASE SYST
nonCS.006	ACM Transactions on Graphics
nonCS.006	ACM T GRAPHIC
nonCS.007	ACM Transactions on Information Systems
nonCS.007	ACM T INFORM SYST
nonCS.008	ACM Transactions on Multimedia Computing, Communications, and Applications
nonCS.008	TRANS MULTIMEDIA COMPUT COMMUN APPL
nonCS.009	ACM Transactions on Programming Languages and Systems
nonCS.009	ACM T PROGR LANG SYS
nonCS.010	ACM Transactions on Software Engineering and Methodology
nonCS.010	ACM T SOFTW ENG METH
nonCS.011	Acta Informatica
nonCS.011	ACTA INFORM
nonCS.012	Adaptive Behavior
